Astro Wars>Astro Wars>>Other - NR (Not Rated)>
Astro Wars II - Battle in Galaxy>Astro Wars II - Battle in Galaxy>>Other - NR (Not Rated)>
Basic>Basic Nyuumon>>Other - NR (Not Rated)>
Boulder Dash>Boulder Dash>>Other - NR (Not Rated)>
Comic Circus>Comic Circus>>Other - NR (Not Rated)>
Doraemon>Doraemon>1985>Other - NR (Not Rated)>EPOCH CO.,LTD
Dragon Ball>Dragon Ball - Dragon Dai Hikyou>>Other - NR (Not Rated)>
Dragon Slayer>Dragon Slayer>>Other - NR (Not Rated)>
Elevator Fight>Elevator Fight>>Other - NR (Not Rated)>
Lupin III>Lupin III>>Other - NR (Not Rated)>
Mappy>Mappy>>Other - NR (Not Rated)>
Milky Princess>Milky Princess>>Other - NR (Not Rated)>
Miner 2049er>Miner 2049er>>Other - NR (Not Rated)>
Nebula>Nebula>>Other - NR (Not Rated)>
Kung Fu Road>Nekketsu Kung Fu Road>>Other - NR (Not Rated)>
Pole Position II>Pole Position II>>Other - NR (Not Rated)>
Pop and Chips>Pop and Chips>>Other - NR (Not Rated)>
Punch Boy>Punch Boy>>Other - NR (Not Rated)>
Rantou Pro-Wrestling>Rantou Pro-Wrestling>>Other - NR (Not Rated)>
Shogi Nyuumon>Shogi Nyuumon>>Other - NR (Not Rated)>
Sky Kid>Sky Kid>>Other - NR (Not Rated)>
Star Speeder>Star Speeder>>Other - NR (Not Rated)>
Baseball>Super Base Ball>>Other - NR (Not Rated)>
Super Golf>Super Golf>>Other - NR (Not Rated)>
Super Mahjong>Super Mahjong>>Other - NR (Not Rated)>
Super Sansu-Puter>Super Sansu-Puter>>Other - NR (Not Rated)>
Super Soccer>Super Soccer>>Other - NR (Not Rated)>
TonTon Ball>TonTon Ball>>Other - NR (Not Rated)>
WaiWai(Y2) Monster Land>WaiWai[Y2] Monster Land>>Other - NR (Not Rated)>
Wheelie Racer>Wheelie Racer>>Other - NR (Not Rated)>
