Air Sea Attack (Asia, Europe)>Air Sea Attack (Asia, Europe)>1981>HSRS - GA (General Audience)>V-Tech>>Shooter
Astro Pinball (Asia, Europe)>Astro Pinball (Asia, Europe)>1982>HSRS - GA (General Audience)>V-Tech>>Pinball
Auto Chase (Asia, Europe)>Auto Chase (Asia, Europe)>1981>HSRS - GA (General Audience)>V-Tech>>Driving
Chopper Rescue (Asia, Europe)>Chopper Rescue (Asia, Europe)>1983>HSRS - GA (General Audience)>V-Tech>>Action
Crazy Chicky (Asia, Europe)>Crazy Chicky (Asia, Europe)>1981>HSRS - GA (General Audience)>V-Tech>>Action
Crazy Pucker (Asia, Europe)>Crazy Pucker (Asia, Europe)>1981>HSRS - GA (General Audience)>V-Tech>>Action
Deep Sea Adventure (Asia, Europe)>Deep Sea Adventure (Asia, Europe)>1982>HSRS - GA (General Audience)>V-Tech>>Action
Locomotive (Asia, Europe)>Locomotive (Asia, Europe)>1983>HSRS - GA (General Audience)>V-Tech>>Action
Mouse Puzzle (Asia, Europe)>Mouse Puzzle (Asia, Europe)>1982>HSRS - GA (General Audience)>V-Tech>>Puzzle
Music Maker (Asia, Europe)>Music Maker (Asia, Europe)>1983>HSRS - GA (General Audience)>V-Tech>>Miscellaneous
Planet Defender (Asia, Europe)>Planet Defender (Asia, Europe)>1981>HSRS - GA (General Audience)>V-Tech>>Shooter
Police Jump (Asia, Europe)>Police Jump (Asia, Europe)>1982>HSRS - GA (General Audience)>V-Tech>>Action
Soccer (Asia, Europe)>Soccer (Asia, Europe)>1983>HSRS - GA (General Audience)>V-Tech>>Soccer/Sports
Sonic Invader (Asia, Europe)>Sonic Invader (Asia, Europe)>1981>HSRS - GA (General Audience)>V-Tech>>Shooter
Stone Age (Asia, Europe)>Stone Age (Asia, Europe)>1984>HSRS - GA (General Audience)>V-Tech>>Action
Tank Attack (Asia, Europe)>Tank Attack (Asia, Europe)>1981>HSRS - GA (General Audience)>V-Tech>>Shooter
Tennis (Asia, Europe)>Tennis (Asia, Europe)>1981>HSRS - GA (General Audience)>V-Tech>>Sports/Tennis
