2 in 1 - Hash Blocks + Eagle Plan (USA, Europe)>2 in 1 - Hash Blocks + Eagle Plan>>Other - NR (Not Rated)
Alien (USA, Europe)>Alien>>Other - NR (Not Rated)
Balloon Fight (USA, Europe)>Balloon Fight>>Other - NR (Not Rated)
Block Buster (USA, Europe)>Block Buster>>Other - NR (Not Rated)
Brain Power (USA, Europe)>Brain Power>>Other - NR (Not Rated)
Carrier (USA, Europe)>Carrier>>Other - NR (Not Rated)
Cave Wonders (USA, Europe)>Cave Wonders>>Other - NR (Not Rated)
Challenger Tank (USA, Europe)>Challenger Tank>>Other - NR (Not Rated)
Chimera (USA, Europe)>Chimera>>Other - NR (Not Rated)
Crystball (USA, Europe)>Crystball>>Other - NR (Not Rated)
Delta Hero (USA, Europe)>Delta Hero>>Other - NR (Not Rated)
Eagle Plan (USA, Europe)>Eagle Plan>>Other - NR (Not Rated)
Earth Defender (USA, Europe)>Earth Defender>>Other - NR (Not Rated)
Fatal Craft (USA, Europe)>Fatal Craft>>Other - NR (Not Rated)
Final Combat (USA, Europe)>Final Combat>>Other - NR (Not Rated)
Galactic Crusader (USA, Europe)>Galactic Crusader>>Other - NR (Not Rated)
Galaxy Fighter (USA, Europe)>Galaxy Fighter>>Other - NR (Not Rated)
Grand Prix (USA, Europe)>Grand Prix>>Other - NR (Not Rated)
Happy Pairs (USA, Europe)>Happy Pairs>>Other - NR (Not Rated)
Hash Blocks (USA, Europe)>Hash Blocks>>Other - NR (Not Rated)
Hero Kid (USA, Europe)>Hero Kid>>Other - NR (Not Rated)
Honey Bee (USA, Europe)>Honey Bee>>Other - NR (Not Rated)
Jacky Lucky (USA, Europe)>Jacky Lucky>>Other - NR (Not Rated)
Jaguar Bomber (USA, Europe)>Jaguar Bomber>>Other - NR (Not Rated)
John Adventure (USA, Europe)>John Adventure>>Other - NR (Not Rated)
Juggler (USA, Europe)>Juggler>>Other - NR (Not Rated)
Kabi Island - Gold in Island (USA, Europe)>Kabi Island - Gold in Island>>Other - NR (Not Rated)
Linear Racing (USA, Europe)>Linear Racing>>Other - NR (Not Rated)
Magincross (USA, Europe)>Magincross>>Other - NR (Not Rated)
Matta Blatta (USA, Europe)>Matta Blatta>>Other - NR (Not Rated)
Olympic Trials (USA, Europe)>Olympic Trials>>Other - NR (Not Rated)
P-52 Sea Battle (USA, Europe)>P-52 Sea Battle>>Other - NR (Not Rated)
PacBoy & Mouse (USA, Europe)>PacBoy & Mouse>>Other - NR (Not Rated)
Penguin Hideout (USA, Europe)>Penguin Hideout>>Other - NR (Not Rated)
Police Bust (USA, Europe)>Police Bust>>Other - NR (Not Rated)
Pyramid (USA, Europe)>Pyramid>>Other - NR (Not Rated)
Soccer Champion (USA, Europe)>Soccer Champion>>Other - NR (Not Rated)
SSSnake (USA, Europe)>SSSnake>>Other - NR (Not Rated)
Super Block (USA, Europe)>Super Block>>Other - NR (Not Rated)
Super Kong (USA, Europe)>Super Kong>>Other - NR (Not Rated)
Tasac 2010 (USA, Europe)>Tasac 2010>>Other - NR (Not Rated)
Tennis Pro '92 (USA, Europe)>Tennis Pro '92>>Other - NR (Not Rated)
Treasure Hunter (USA, Europe)>Treasure Hunter>>Other - NR (Not Rated)
